,Irradiancia,Temperatura,Potencia,label
77,695.53,41.97,0.273299,0
78,691.28,41.34,0.2718946,0
79,691.54,40.85,0.272154,0
80,689.41,40.27,0.2715364,0
81,697.42,40.1,0.274633,0
82,702.52,40.59,0.2764041,0
83,702.45,41.27,0.2761515,0
84,702.86,41.73,0.2761545,0
85,705.2,42.16,0.2768977,0
86,705.43,42.23,0.2769614,0
87,702.41,42.19,0.2758321,0
88,696.99,41.26,0.2740862,0
89,703.98,40.79,0.2768907,0
90,702.28,40.68,0.2762828,0
91,702.24,40.36,0.2763743,0
92,706.95,40.39,0.2781495,0
93,706.39,40.64,0.2778533,0
94,709.18,40.69,0.2788935,0
95,711.05,40.94,0.2795172,0
96,711.95,41.17,0.2797814,0
97,714.63,41.44,0.2807045,0
98,715.67,41.93,0.2809331,0
99,712.09,41.71,0.2796528,0
100,714.92,41.55,0.2807765,0
101,715.29,41.67,0.2808768,0
102,709.64,41.68,0.2787369,0
103,716.18,41.8,0.281169,0
104,714.35,41.41,0.2806081,0
105,715.15,41,0.2810485,0
106,718.34,41.07,0.2822319,0
107,719.5,41.48,0.2825319,0
108,722.61,41.77,0.2836083,1
109,720.14,41.65,0.2827164,1
110,722.76,41.37,0.2838005,1
111,724.28,41.22,0.2844256,1
112,728.19,41.52,0.2858005,1
113,725.39,42.08,0.2845528,1
114,725.4,42.55,0.2843982,1
115,721.76,42.05,0.2831928,1
116,720.8,41.4,0.2830498,1
117,723.52,41.23,0.2841352,1
118,725.83,41.16,0.2850311,1
119,727,40.91,0.2855591,1
120,729.38,41.12,0.2863858,1
121,733.75,41.5,0.2879045,1
122,733.92,41.53,0.287959,1
123,734.84,41.55,0.2882994,1
124,734.51,41.75,0.288106,1
125,731.79,41.62,0.2871249,1
126,733.43,41.38,0.2878258,1
127,734.26,41.34,0.2881526,1
128,733.53,41.41,0.2878532,1
129,733.41,41.48,0.287784,1
130,743.13,41.96,0.2912824,1
131,741.78,42.23,0.2906808,1
132,741.17,42.3,0.2904274,1
133,744.36,42.61,0.2915214,1
134,744.72,42.84,0.2915779,1
135,745.6,42.9,0.2918883,1
136,742.8,43.05,0.2907825,1
137,737.47,43.08,0.2887663,1
138,742.62,42.88,0.2907739,1
139,747.29,42.7,0.2925929,1
140,744.81,42.56,0.2917081,1
141,743.14,42.03,0.2912619,1
142,745.53,41.38,0.2923875,1
